,,,,
Constant,,Dimension,Alias,Definition & Notes
"Metrics of the known Universe  (for the prefixes M (Mega), G (Giga), Z (Zetta), and Y (Yocto), click here)  ",,,,
Diameter visible by Hubble telescope ,8.80[10] e+26 ,m ,,~ 93 G light-years 
Volume of the visible sphere ,3.60[10] e+80 ,m3,,~ 420 MY light-years3 (Mega-Yocta)
Mass contained therein ,3.56[10] e+54 ,kg ,,~ 3.56 MYY kg; mostly dark energy & matter 
Mean density ,9.90[20] e-27 ,kg.m-1,kg/m ,~ 9.9 e-30 g/ml 
"Age, assuming Big Bang theory ",4.366[54] e+17 ,s ,,~ 13.75±0.17 G years 
Mean expansion rate ,2.29[13] e-18 ,s-1,,~ 70.8±4.0 (km/s)/Mpc (km/s per Megaparsec)
Number of stars ,3.0[10] e+23 ,Dimensionless ,,"~ 300 Z , or 0.5 mols of stars "
Number of galaxies ,1.25[20] e+11 ,Dimensionless ,,"~ 125 G, or 0.2 pico-mols of galaxies "
Number of fundamental particles ,1.00[25] e+80 ,Dimensionless ,,~ 100 MYYY (Mega-Yocto-Yocto-Yocto) 
Mean concentration of particles ,0.28[10] ,m-3,counts/m3,"~ 4.5e-28 molar ""solution"" "
"Milky Way galaxy. Type BSc (barred spiral), lentil-shaped, 9 arms, center in the direction of Sagittarius constellation ",,,,
Diameter ,1.04[10] e+21 ,m ,,100000 - 120000 light-years (30 - 37 Kpc) 
Thickness ,1.00[10] e+19 ,m ,,~1000 light-years (~300 pc) 
Mass ,2.50[50] e+42 ,kg ,,1.25[25] e+12 solar masses 
Number of stars ,3.0[10] e+11 ,Dimensionless ,count ,~300 e+9 
Oldest known star ,4.156[50] e+17 ,s ,,13.2 e+9 years 
Speed with respect to CMB ,5.520[60] e+5 ,m.s-1 ,,552 ± 6 km/s; the absolute galaxy motion 
Angle between galactic plane and the ecliptic ,1.05[10] ,rad ,,~60 degrees 
Milky Way arms look like logarithmic-spirals; galaxy is a kind of vortex and its apparent features keep changing faster than the motions of its stars ,,,,
Arms pattern rotation (apparent) ,1.58[15] e+15 ,s ,,~50 million years; move like ripple patterns 
Milky Way central bar  ,,,,
Bar pattern rotation period (apparent) ,5.20[47] e+14 ,s ,,15-18 million years; moves like a ripple pattern 
Solar system data; see also NASA Planetary Fact Sheets ,,,,
Distance to Milky Way galaxy center ,2.57[10] e+20 ,m ,,27200 ±1100 light-years 
Rotation around galaxy center: period ,7.49[39] e+15 ,s ,,225 - 250 million years 
Rotation around galaxy center: orbital speed ,2.20 e+5 ,m.s-1 ,m/s ,approximately opposed to absolute galaxy motion 
Absolute speed with respect to CMB ,3.7 e+5 ,m.s-1 ,m/s ,370 km/s; 0.123% of the speed of light 
Extension (max.aphelion of a minor planet) ,1.598 e+14 ,m ,,over 1068 au; planetoid (87269) 2000 OO67 
Distance to nearest-neighbour system ,3.970[50] e+16 ,m ,,4.2 light-years; Proxima Centauri 
"The Sun; spectral class G2V, main sequence (V) yellow dearf (G2). Composition: 73.46% H, 24.85% He, 0.77% O, 0.29 C, 0.16% Fe, 0.12% Ne, 0.09% N ",,,,
Mass ,1.98910[20] e+30 ,kg ,,330'000 times that of Earth 
Mean radius ,6.9550[50] e+8 ,m ,,109.2 times that of Earth 
Flattening ,9 e-6 ,Dimensionless ,,(equatorial - polar)/equatorial radii 
Volume ,1.41226[50] e+27 ,m3,,1'304'000 times that of Earth 
Mean density ,1.408 e+3 ,kg.m-3,kg/m3,0.255 times that of Earth 
Surface gravity on equator ,2.74 e+2 ,m.s-2,m/s2,27.94 g 
Escape velocity ,6.176 e+2 ,m.s-1,m/s ,55.2 times that of Earth 
Photosphere temperature ,5778 ,K ,,In the layer emitting the light we see 
Absolute visual magnitude ,+4.83 ,Dimensionless ,,see stellar magnitudes (Conventional constants) 
Radiance Isol ,2.009 e+7 ,W.m2.sr-1,,total from the layer emitting the light we see 
Luminose efficacy ,98 ,lm.kg-1.m-2.s3 ,lm/W ,"see ""Electromagnetic radiation constants"" "
Luminosity Lsol ,3.841[14] e+26 ,kg.m2.s-3 ,W ,~3.75 e+28 lm 
Loss of mass due to elmag radiation ,4.273[16] e+9 ,kg.s-1 ,kg/s ,<electromagnetic power output> / c2 
Total neutrino emissions ,1.830[50] e+38 ,s-1 ,count/s ,Mean value (very variable) 
Age ,1.4420[14] e+17 ,s ,,4.57 e+9 years 
Planet Earth in relation to the Sun and the Solar system. The orbit of Earth defines the ecliptic plane. ,,,,
"Earth aphelion, largest distance from Sun ",1.52098232 e+11 ,m ,,1.01671388 au 
"Earth perihelion, smallest distance from Sun ",1.47098290 e+11 ,m ,,0.98329134 au 
Longitude of ascending node ,6.08665006 ,rad ,,348.73936 degrees 
Argument of perihelion ,1.9933026 ,rad ,,114.20783 degrees 
Semi-major orbital axis ,1.49598261 e+11 ,m ,,1.00000261 au 
Earth orbit inclination to Sun equator ,0.1249 ,rad ,,7.155 degrees 
Earth orbit inclination to invariable plane ,0.0275533 ,rad ,,1.57869 degrees 
Earth orbital excentricity ,0.01671123 ,Dimensionless ,,will be about 0.015 after 5000 years 
Mean anomaly of Earth orbit ,3.5751716 e+2 ,Dimensionless ,,
Earth mean orbital velocity ,2.9780 e+4 ,m.s-1,m/s ,107200 km/h 
Sun visual brightess from the Earth ,-26.74 ,Dimensionless ,,see stellar magnitudes (Conventional constants) 
Sun angular diameter seen from the Earth ,0.00919 - 0.00951 ,rad ,,Varies between 0.527 and 0.545 degrees 
Solar constant (mean value for Earth) ,1.36594[48] e3 ,kg.s-3,W/m2,Elmag irradiation from Sun at 1 AU distance 
Solar neutrinos flux on Earth surface ,6.50[10] e+14 ,m-2.s-1,,Mean count per m2 per second; very variable 
Satellites count ,1 natural ,Dimesionless ,,994 artificial (December 2011) 
Planets: see the PDF document SOLAR SYSTEM PLANETS AT A GLANCE and the NASA Planetary Fact Sheets ,,,,
Number of planets ,8 ,Dimensionless ,count ,Planetary data table 
"Minor planets; see also NASA Facts Sheets: Pluto, Chiron, Asteroids, Comets,  ",,,,
"Registered, with known orbits ",583'767 ,Dimensionless ,count ,Apr 2012; ~3000 are added every month 
Numbered minor planets ,326'266 ,Dimensionless ,count ,Apr 2012 
Named minor planets ,17'055 ,Dimensionless ,count ,Apr 2012 
"Planet Earth (Terra) data, other than those listed above; see also NASA Earth Fact Sheet ",,,,
Age ,1.4327[14] e+17 ,s ,,4.54 e+9 years 
Global composition in weight % ,"Fe 32.1, O 30.1, Si 15.1, Mg 13.9, S 2.9, Ni 1.8, Ca 1.5, Al 1.4, the rest: 1.2 ",,,
Atmospheric composition in weight % ,"N2 78.08, O2 20.95, Ar 0.93, CO2 0.038, the rest: 0.002; extra: 1% of H2O wapor (variable) ",,,
Mass ,5.9736 e+24 ,kg ,,
Volume ,1.08321 e+21 ,m3,,108.321 km3 
Mean density ,5.515 e+3 ,kg.m-3,kg/m3,5.515 g/cm3
Mean radius ,6.3710 e+6 ,m ,,this is volumetric mean 
Equatorial radius ,6.3781 e+6 ,m ,,6378.1 km; circumpherence 40075.017 km 
Polar radius ,6.3568 e+6 ,m ,,6356.8 km; circumpherence 40007.860 km 
Flattening ,0.00335 ,Dimensionless ,,"f = (a-b)/a; a = equatorial, b = polar radius "
Surface area ,5.100720 e+14 ,m2,,5.100720 e+8 km2
Dry land surface area ,1.48940 e+14 ,m2,,1.48940 e+8 km (29.200 %)2
"Surface temperature, mean ",287.2 ,K ,,14.0 °C; range 184 to 331 K (-90 to 58 °C)) 
"Surface pressure, mean ",1.01325 e+5 ,kg.m-1.s-2,Pa ,1 atm = 101325 Pa 
Equatorial surface gravity ,9.780327 ,m.s-2,m/s2,0.99732 g 
Escape velocity ,1.1186 e+4 ,m.s-1,m/s ,11.186 km/s 
"Albedo, geometric ",0.367 ,Dimensionless ,,
"Albedo, Bond ",0.306 ,Dimensionless ,,
Sidereal rotation period ,8.616410 e+4 ,s ,,"0.99726968 days, or 23 h 56 m 4.100 s "
Equatorial rotation speed ,465.1 ,m.s-1,m/s ,0.4651 km/s (4.1579 % of escape volocity)) 
Axial tilt ,0.40763819 ,rad ,,"23.355948 °, or 23 ° 26' 21“.4119 "
Radius of the core ,3.485 e+6 ,m ,,3485 km 
Average lunar month ,2.5514430[5] e+6 ,s ,,29 days+ 12 hours+ 44 minutes+ 3 seconds 
Conventional constants ,,,,
Molar mass constant ,0.001 ,kg.mol-1,kg/mol ,Assigned (exact) 
Molar mass of  12C ,0.012 ,kg ,,Assigned (exact) 
Standard gravity acceleration ,9.806 65 ,m.s-2,m/s2,Assigned. Called 1 g (gee).
Standard atmosphere ,101 325 ,Pa ,,Assigned. Called 1 atm .
"Stellar magnitudes. Reference points: Apparent brightness: bolometric, initially Vega was 0 (now it is +0.03). Absolute: the Sun is 4.83 (used to be 4.75)  ",,,,
Stellar apparent magnitude unit ,2.511 886 431 509 580 ... ,Dimensionless ,a ratio ,1001/5 = 100.4; also stellar brightness 
Stellar absolute magnitude unit ,2.511 886 431 509 580 ... ,Dimensionless ,a ratio ,Brightness of a star when distant 10 parsecs 
Conventional engineering constants. See also Math constants pertinent to Engineering definitions ,,,,
dBm ,,,,
0 dBm power ,0.001 ,kg.m2.s-3,Watts ,1 mW; assigned 
0 dBm potential ,0.774 596 669 241 483 ... ,kg.m2.s-3.A-1,Volts ,1 mW into 600 Ohm load 
0 dBm current ,0.001 290 994 448 736 ... ,A ,Amperes ,1 mW into 600 Ohm load 
dBW ,,,,
0 dBW power ,1.0 ,kg.m2.s-3,Watts ,1 W; assigned 
0 dBW potential ,7.071 067 811 865 475 ... ,kg.m2.s-3.A-1,Volts ,sqrt(Z0); 1 W into 50 Ohm load Z0 
0 dBW current ,0.141 421 356 237 310 ... ,A ,Amperes ,sqrt(1/Z0); 1 W into 50 Ohm load Z0 
Conversion of dBW into dBm (additive) ,+30 ,Dimensionless ,dB ,In terms of power 
Relative luminance Y of RGB color primaries: Y = 0.2126.R + 0.7152.G + 0.0722.B. More info ... ,,,,
Relative luminance of Red/RGB ,0.2126 ,Dimensionless ,a ratio ,
Relative luminance of Green/RGB ,0.7152 ,Dimensionless ,a ratio ,Human eye is most sensitive to green 
Relative luminance of Blue/RGB ,0.0722 ,Dimensionless ,a ratio ,
Music and acoustics ,,,,
Frequency of the A4 reference note ,440.0 ,s-1,Hz ,ISO 16 
Full-octave frequency ratio ,2.0 exact ,Dimensionless ,Ratio ,"C,C#,D,D#,E,F,F#,G,G#,A,A#,B,...next C "
Half-tone frequency ratio 21/12 ,1.059 463 094 359 295 ... ,Dimensionless ,Ratio ,"12 half-tones per octave, each worth 100 cents "
"Conversion factors for entities tolerated by SI, as well as some others ",,,,
Energy & its equivalents ,,,,
Electron volt ,1.602 176 565[35] e-19 ,kg.m2.s-2,J ,Basic eV-to-SI conversion 
Electron volt to mass ,1.782 661 845[39] e-36 ,kg ,,mass = energy/c2 
Electron volt to atomic units u ,1.073 544 150[24] e-9 ,- ,u ,a mass equivalent 
Electron volt to frequency ,2.417 989 348[53] e+14 ,s-1,Hz ,frequency = energy/h 
Electron volt to half-life time ,6.582 119 28[22] e-16 ,s ,,Inverse relationship: τ = h/(2πΓ) 
Joul to eV ,6.241 509 34[14] e+18 ,- ,eV ,Basic SI-to-eV conversion 
Mass to eV ,5.609 588 85[12] e+35 ,- ,eV ,energy = mass.c2 
Atomic unit u to eV ,931.494 061[21] e+6 ,- ,eV ,a bit less than 1 GeV/atomic_unit  
Frequency (1 Hz) to eV ,4.135 667 516[91] e-15 ,- ,eV ,energy = frequency*h 
"Atomic mass constant u, mu ",1.660 538 921[73] e-27 ,kg ,,Mass of 12C nuclide / 12 
Atomic mass energy (uc2) ,1.492 417 954[66] e-10 ,kg.m2.s-2,J ,931.494 061[21] MeV 
Length / Distance ,,,,
"Astronomical unit ua, au ",1.49597870[30] e+11 ,m ,~150 Gm ,Mean Earth-to-Sun distance 
Light-year ly ,9.4607304725808 e+15 ,m ,~9.5 Pm ,Exact: light covers it in one Julian year 
Parsec pc (~ 32.6 ly) ,3.08567757[60] e+16  ,m ,~30 Pm ,Corresponds to au parallax of 1 second 
Time ,,,,
Hour ,3.600 e+3 ,s ,,Exact: 3600 seconds 
Day ,8.6400 e+4 ,s ,,Exact: 24 hours 
Julian year ,3.1557600 e+7 ,s ,,Exact: 365.25 days 
Gregorian year (mean) ,3.1556952 e+7 ,s ,,Exact: 365.2425 days 
Tropical year (drops ~0.53 s/century) ,3.155692518747072 e+7 ,s ,,365.2421896698 days in year 2000 
Plane and solid angles ,,,,
1 radian in degrees ,5.729577951308232... e+1 ,Dimensionless ,"°, degree ",180/π; planar angle; 57° 17' 44.806247...'' 
1° degree in radians ,1.745329251994330... e-2 ,Dimensionless ,rad ,π/180; planar angle 
1' minute in radians ,2.908882086657215 ... e-4 ,Dimensionless ,rad ,π/180/60; planar angle 
1'' second in radians ,4.848136811095359 ... e-6 ,Dimensionless ,rad ,π/180/60/60; planar angle 
1 steradian in degree2 ,3.282806350011744... e+3 ,Dimensionless ,degree2 ,(180/π)2; for solid angle infinitesimals 
1 degree2 in steradians ,3.046174197867086... e-4 ,Dimensionless ,sr ,(π/180)2; for solid angle infinitesimals 
,,,,
